,movie_id,title,last_update,release_year,rating,duration,description,ott_id
33,34,Naruto Shippuden: The Movie,20210915,2007,PG,95,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",4
34,35,Naruto Shippuden: The Movie: The Lost Tower,20210915,2010,PG-13,85,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",4
35,36,Naruto the Movie 2: Legend of the Stone of Gelel,20210915,2005,PG,97,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",4
36,37,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,20210915,2006,PG,95,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",4
37,38,Naruto the Movie: Ninja Clash in the Land of Snow,20210915,2004,PG,83,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",4
38,39,Nightbooks,20210915,2021,PG,103,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,4
39,40,Schumacher,20210915,2021,PG-13,113,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",4
40,41,A StoryBots Space Adventure,20210914,2021,G,13,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,4
41,42,King of Boys,20210914,2018,R,182,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",4
42,43,You vs. Wild: Out Cold,20210914,2021,G,106,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",4
43,44,Little Singham - Black Shadow,20210911,2021,G,48,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,4
44,45,Tughlaq Durbar,20210911,2020,PG-13,145,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,4
45,46,Tughlaq Durbar (Telugu),20210911,2021,PG-13,145,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,4
46,47,Firedrake the Silver Dragon,20210910,2021,G,93,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",4
47,48,Kate,20210910,2021,R,106,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",4
48,49,Omo Ghetto: the Saga,20210910,2020,R,147,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",4
49,50,Prey,20210910,2021,R,87,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,4
50,51,Blood Brothers: Malcolm X & Muhammad Ali,20210909,2021,PG-13,96,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",4
51,52,Paradise Hills,20210909,2019,R,95,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",4
52,53,The Women and the Murderer,20210909,2021,PG-13,92,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,4
53,54,JJ+E,20210908,2021,R,91,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",4
54,55,Show Dogs,20210908,2018,PG,90,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,4
