,movie_id,genre_id,last_update
0,1,25,20210925
1,2,15,20210924
2,3,26,20210924
3,3,37,20210924
4,3,36,20210924
5,4,17,20210924
6,4,26,20210924
7,5,37,20210923
8,5,26,20210923
9,6,15,20210922
10,6,17,20210922
11,7,37,20210922
12,7,25,20210922
13,8,72,20210922
14,9,17,20210921
15,9,37,20210921
16,10,15,20210921
17,11,37,20210921
18,11,17,20210921
19,11,55,20210921
20,12,37,20210921
21,12,17,20210921
22,12,48,20210921
23,13,17,20210920
24,14,57,20210919
25,14,35,20210919
26,15,72,20210919
27,16,37,20210917
28,16,36,20210917
29,16,26,20210917
30,17,26,20210917
31,17,37,20210917
32,17,72,20210917
33,18,3,20210917
34,18,26,20210917
35,18,37,20210917
36,19,26,20210916
37,19,3,20210916
38,20,3,20210916
39,20,16,20210916
40,20,26,20210916
41,21,26,20210916
42,21,35,20210916
43,21,72,20210916
44,22,72,20210916
45,22,35,20210916
46,22,3,20210916
47,23,72,20210916
48,23,35,20210916
49,23,3,20210916
50,24,25,20210916
51,25,3,20210916
52,26,26,20210916
53,26,72,20210916
54,27,37,20210915
55,27,3,20210915
56,27,7,20210915
57,28,7,20210915
58,28,37,20210915
59,28,3,20210915
60,29,7,20210915
61,29,37,20210915
62,29,3,20210915
63,30,3,20210915
64,30,37,20210915
65,30,7,20210915
66,31,7,20210915
67,31,37,20210915
68,31,3,20210915
69,32,37,20210915
70,32,7,20210915
71,32,3,20210915
72,33,37,20210915
73,33,7,20210915
74,33,3,20210915
75,34,7,20210915
76,34,37,20210915
77,34,3,20210915
78,35,7,20210915
79,35,3,20210915
80,35,37,20210915
81,36,37,20210915
82,36,7,20210915
83,36,3,20210915
84,37,37,20210915
85,37,3,20210915
86,37,7,20210915
87,38,7,20210915
88,38,37,20210915
89,38,3,20210915
90,39,15,20210915
91,40,25,20210915
92,40,62,20210915
93,40,37,20210915
94,41,15,20210914
95,42,26,20210914
96,42,37,20210914
97,43,15,20210914
98,44,17,20210911
99,44,15,20210911
100,45,37,20210911
101,45,26,20210911
102,45,17,20210911
103,46,26,20210911
104,46,37,20210911
105,46,17,20210911
106,47,15,20210910
107,48,3,20210910
108,49,3,20210910
109,49,17,20210910
110,49,26,20210910
111,50,72,20210910
112,50,37,20210910
113,51,62,20210909
114,51,25,20210909
115,52,57,20210909
116,52,72,20210909
117,53,37,20210909
118,53,25,20210909
119,54,37,20210908
120,54,55,20210908
121,54,26,20210908
122,55,15,20210908
123,55,17,20210908
124,56,48,20210907
125,56,25,20210907
126,57,62,20210907
127,57,25,20210907
128,58,72,20210906
129,58,37,20210906
130,58,26,20210906
131,59,3,20210905
132,59,26,20210905
133,59,17,20210905
134,60,15,20210904
135,60,26,20210904
136,61,26,20210903
137,62,55,20210902
138,62,17,20210902
139,63,72,20210902
140,63,37,20210902
141,63,26,20210902
142,64,55,20210902
143,64,26,20210902
144,65,17,20210902
145,65,36,20210902
146,65,26,20210902
147,66,25,20210902
148,67,26,20210902
149,67,37,20210902
150,67,72,20210902
151,68,26,20210902
152,68,55,20210902
153,68,37,20210902
154,69,72,20210902
155,70,26,20210902
156,70,37,20210902
157,70,55,20210902
158,71,15,20210901
159,71,17,20210901
160,72,37,20210901
161,72,26,20210901
162,72,72,20210901
163,73,26,20210901
164,74,48,20210901
165,74,15,20210901
166,75,3,20210901
167,75,16,20210901
168,75,22,20210901
169,76,57,20210901
170,76,3,20210901
171,77,3,20210901
172,77,26,20210901
173,78,3,20210901
174,79,26,20210901
175,79,55,20210901
176,80,3,20210901
177,80,17,20210901
178,81,26,20210901
179,81,55,20210901
180,82,16,20210901
181,82,17,20210901
182,82,26,20210901
183,83,37,20210901
184,83,26,20210901
185,83,72,20210901
186,84,3,20210901
187,85,26,20210901
188,86,57,20210901
189,86,3,20210901
190,87,17,20210901
191,87,22,20210901
192,88,17,20210901
193,88,48,20210901
194,88,22,20210901
195,89,17,20210901
196,89,48,20210901
197,90,3,20210901
198,90,17,20210901
199,91,72,20210901
200,92,37,20210901
201,92,3,20210901
202,93,17,20210901
203,94,3,20210901
204,94,15,20210901
205,94,22,20210901
206,95,55,20210901
