,movie_id,actor_id,last_update
0,1,33632,20210925
1,2,30919,20210924
2,2,13199,20210924
3,2,19368,20210924
4,2,35585,20210924
5,2,24454,20210924
6,2,25081,20210924
7,2,27110,20210924
8,2,19595,20210924
9,2,46177,20210924
10,2,42109,20210924
11,3,689,20210924
12,3,32262,20210924
13,3,34282,20210924
14,3,33198,20210924
15,3,1542,20210924
16,3,32206,20210924
17,3,37299,20210924
18,3,25237,20210924
19,4,44838,20210924
20,4,37039,20210924
21,4,24757,20210924
22,4,25064,20210924
23,4,10589,20210924
24,4,38831,20210924
25,4,8501,20210924
26,4,42050,20210924
27,4,27282,20210924
28,4,30471,20210924
29,4,26033,20210924
30,5,3204,20210923
31,5,46420,20210923
32,5,4619,20210923
33,5,29303,20210923
34,5,27746,20210923
35,5,19689,20210923
36,5,14665,20210923
37,5,13216,20210923
38,5,32271,20210923
39,5,31456,20210923
40,5,12798,20210923
41,6,19020,20210922
42,6,6921,20210922
43,6,15201,20210922
44,6,26533,20210922
45,6,28732,20210922
46,6,25135,20210922
47,6,25212,20210922
48,6,14537,20210922
49,6,27496,20210922
50,6,23331,20210922
51,7,33632,20210922
52,8,40254,20210922
53,8,6150,20210922
54,8,27170,20210922
55,8,29249,20210922
56,8,3608,20210922
57,8,38246,20210922
58,8,17258,20210922
59,8,15097,20210922
60,8,30317,20210922
61,8,9185,20210922
62,9,32586,20210921
63,9,23517,20210921
64,9,17365,20210921
65,9,30273,20210921
66,9,15544,20210921
67,9,39343,20210921
68,10,28233,20210921
69,10,34943,20210921
70,10,24644,20210921
71,10,314,20210921
72,11,42455,20210921
73,11,895,20210921
74,11,32586,20210921
75,11,35998,20210921
76,12,23456,20210921
77,12,35924,20210921
78,12,16064,20210921
79,12,4099,20210921
80,12,32586,20210921
81,12,39343,20210921
82,13,9304,20210920
83,13,44765,20210920
84,13,8520,20210920
85,13,22762,20210920
86,13,455,20210920
87,13,24747,20210920
88,13,38090,20210920
89,13,10922,20210920
90,13,30180,20210920
91,13,39617,20210920
92,13,28832,20210920
93,14,32235,20210919
94,14,24630,20210919
95,14,23392,20210919
96,14,3387,20210919
97,14,25696,20210919
98,14,37570,20210919
99,14,22578,20210919
100,14,19116,20210919
101,14,9853,20210919
102,14,18708,20210919
103,15,22999,20210919
104,15,13385,20210919
105,15,17106,20210919
106,15,27492,20210919
107,15,37651,20210919
108,15,2136,20210919
109,15,26717,20210919
110,15,22583,20210919
111,15,2930,20210919
112,15,15420,20210919
113,16,11289,20210917
114,16,25532,20210917
115,16,257,20210917
116,16,33420,20210917
117,16,34394,20210917
118,16,37966,20210917
119,16,48411,20210917
120,17,45740,20210917
121,17,9647,20210917
122,17,628,20210917
123,17,36440,20210917
124,17,46791,20210917
125,17,13040,20210917
126,17,35535,20210917
127,17,5961,20210917
128,17,46126,20210917
129,17,22884,20210917
130,18,24620,20210917
131,18,46672,20210917
132,18,681,20210917
133,18,31112,20210917
134,18,9759,20210917
135,18,23700,20210917
136,18,18092,20210917
137,18,14989,20210917
138,18,15963,20210917
139,18,20163,20210917
140,19,44304,20210916
141,19,36241,20210916
142,19,38737,20210916
143,19,35623,20210916
144,19,5675,20210916
145,19,47691,20210916
146,19,21124,20210916
147,19,48015,20210916
148,19,46204,20210916
149,20,38972,20210916
150,20,22210,20210916
151,20,27309,20210916
152,20,38339,20210916
153,20,32188,20210916
154,20,43367,20210916
155,20,44143,20210916
156,20,37651,20210916
157,20,20319,20210916
158,20,7160,20210916
159,21,4852,20210916
160,21,27309,20210916
161,21,32188,20210916
162,21,43391,20210916
163,21,38972,20210916
164,21,20319,20210916
165,21,9328,20210916
166,21,22521,20210916
167,21,3144,20210916
168,21,29180,20210916
169,22,27019,20210916
170,22,41889,20210916
171,22,11410,20210916
172,22,27376,20210916
173,22,26250,20210916
174,22,9960,20210916
175,22,21903,20210916
176,22,5296,20210916
177,22,34298,20210916
178,22,27101,20210916
179,23,25828,20210916
180,23,22873,20210916
181,23,30729,20210916
182,23,27834,20210916
183,23,23681,20210916
184,23,29068,20210916
185,23,27309,20210916
186,23,31673,20210916
187,24,33632,20210916
188,25,46309,20210916
189,25,21475,20210916
190,25,39259,20210916
191,25,39022,20210916
192,25,39725,20210916
193,25,33741,20210916
194,25,11432,20210916
195,25,26713,20210916
196,25,6244,20210916
197,25,38311,20210916
198,26,45024,20210916
199,26,12382,20210916
200,26,11432,20210916
201,26,42096,20210916
202,26,14112,20210916
203,26,37143,20210916
204,26,27948,20210916
205,26,17102,20210916
206,26,9156,20210916
207,26,14033,20210916
208,26,40557,20210916
209,27,24516,20210915
210,27,23613,20210915
211,27,25525,20210915
212,27,40411,20210915
213,27,45461,20210915
214,27,18633,20210915
215,27,17771,20210915
216,27,31287,20210915
217,27,33764,20210915
218,27,25249,20210915
219,28,40411,20210915
220,28,17771,20210915
221,28,24965,20210915
222,28,998,20210915
223,28,24471,20210915
224,28,25525,20210915
225,28,25249,20210915
226,28,23613,20210915
227,29,24471,20210915
228,29,33675,20210915
229,29,23613,20210915
230,29,25525,20210915
231,29,17771,20210915
232,29,25249,20210915
233,29,8360,20210915
234,29,33764,20210915
235,29,40411,20210915
236,29,28375,20210915
237,30,23613,20210915
238,30,33764,20210915
239,30,25525,20210915
240,30,17664,20210915
241,30,40411,20210915
242,30,45258,20210915
243,30,24471,20210915
244,30,24516,20210915
245,30,17771,20210915
246,30,25249,20210915
247,31,31285,20210915
248,31,23206,20210915
249,31,37931,20210915
250,31,29653,20210915
251,31,48039,20210915
252,31,24200,20210915
253,31,25284,20210915
254,31,24513,20210915
255,31,8234,20210915
256,31,29654,20210915
257,32,8234,20210915
258,32,41617,20210915
259,32,23206,20210915
260,32,33763,20210915
261,32,40409,20210915
262,32,32053,20210915
263,32,24200,20210915
264,32,45958,20210915
265,32,41512,20210915
266,32,32440,20210915
267,32,37931,20210915
268,33,41617,20210915
269,33,25241,20210915
270,33,39299,20210915
271,33,24607,20210915
272,33,48045,20210915
273,33,23206,20210915
274,33,24200,20210915
275,33,25244,20210915
276,33,40409,20210915
277,33,41512,20210915
278,33,32440,20210915
279,33,8234,20210915
280,33,47916,20210915
281,34,25177,20210915
282,34,23206,20210915
283,34,38676,20210915
284,34,29661,20210915
285,34,25244,20210915
286,34,47916,20210915
287,34,24115,20210915
288,34,44363,20210915
289,34,31710,20210915
290,34,29654,20210915
291,34,24200,20210915
292,34,24279,20210915
293,34,40769,20210915
294,34,41617,20210915
295,34,15122,20210915
296,34,9829,20210915
297,34,17599,20210915
298,34,4598,20210915
299,34,24264,20210915
300,34,9827,20210915
301,34,8234,20210915
302,35,40409,20210915
303,35,8234,20210915
304,35,24519,20210915
305,35,23206,20210915
306,35,45461,20210915
307,35,15114,20210915
308,35,37931,20210915
309,35,48069,20210915
310,35,24264,20210915
311,35,40122,20210915
312,35,32210,20210915
313,35,33670,20210915
314,35,48060,20210915
315,35,30211,20210915
316,36,41617,20210915
317,36,23206,20210915
318,36,8234,20210915
319,36,1003,20210915
320,36,47830,20210915
321,36,15299,20210915
322,36,45965,20210915
323,36,17771,20210915
324,36,39401,20210915
325,36,43741,20210915
326,37,25666,20210915
327,37,29000,20210915
328,37,998,20210915
329,37,24200,20210915
330,37,29663,20210915
331,37,8234,20210915
332,37,45938,20210915
333,37,17666,20210915
334,37,23206,20210915
335,37,47916,20210915
336,38,24200,20210915
337,38,48033,20210915
338,38,8234,20210915
339,38,18153,20210915
340,38,23152,20210915
341,38,33763,20210915
342,38,45722,20210915
343,38,17659,20210915
344,38,17026,20210915
345,38,23206,20210915
346,39,26746,20210915
347,39,47574,20210915
348,39,25481,20210915
349,40,31010,20210915
350,41,41738,20210914
351,41,19718,20210914
352,41,14147,20210914
353,41,8525,20210914
354,41,20244,20210914
355,41,14156,20210914
356,41,17261,20210914
357,41,13883,20210914
358,41,15038,20210914
359,42,37368,20210914
360,42,41209,20210914
361,42,44932,20210914
362,42,524,20210914
363,42,45292,20210914
364,42,20919,20210914
365,42,35020,20210914
366,42,42159,20210914
367,43,4940,20210914
368,43,19813,20210914
369,44,15303,20210911
370,44,20922,20210911
371,44,42193,20210911
372,44,33027,20210911
373,44,43228,20210911
374,44,3292,20210911
375,44,2432,20210911
376,44,28503,20210911
377,45,36316,20210911
378,45,34541,20210911
379,45,46566,20210911
380,46,36316,20210911
381,46,46566,20210911
382,46,34541,20210911
383,47,15053,20210910
384,47,34782,20210910
385,47,44527,20210910
386,47,14467,20210910
387,47,33728,20210910
388,47,40072,20210910
389,47,30291,20210910
390,48,43694,20210910
391,48,31244,20210910
392,48,23153,20210910
393,48,47631,20210910
394,48,29527,20210910
